"profile","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","mean_estimate","bias","sd","mse","coverage","power","fail_rate","n_valid_est"
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1.5,0.6,0.01,"both",25,10,1.55681700957576,0.0568170095757608,0.554626338149042,0.309608106045874,0.932,0.82,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1.5,0.6,0.2,"both",25,10,1.53840583192099,0.0384058319209934,0.550274232856793,0.303065532346291,0.944,0.804,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1.5,0.6,0.5,"both",25,10,1.54286593229904,0.0428659322990411,0.534254354579696,0.286123492677683,0.928,0.84,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1.5,0.7,0,"both",25,10,1.4990335596446,-0.000966440355403836,0.552302980998027,0.30381936249499,0.94,0.828,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1.5,0.7,0.01,"both",25,10,1.52990895320044,0.0299089532004397,0.499450423518431,0.249347468132075,0.94,0.848,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1.5,0.7,0.2,"both",25,10,1.56554217528052,0.0655421752805156,0.526423763820111,0.280309267938576,0.932,0.864,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1.5,0.7,0.5,"both",25,10,1.53590162996613,0.0359016299661283,0.486027374152822,0.236566645026408,0.944,0.864,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1.5,0.8,0,"both",25,10,1.51785112692421,0.01785112692421,0.561268306337587,0.314080685984732,0.924,0.804,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1.5,0.8,0.01,"both",25,10,1.49862071212169,-0.0013792878783132,0.542739480047291,0.293389781064247,0.928,0.812,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1.5,0.8,0.2,"both",25,10,1.48785295109674,-0.0121470489032585,0.518283656673024,0.267691027776322,0.944,0.836,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1.5,0.8,0.5,"both",25,10,1.52111796560709,0.021117965607094,0.552524809064838,0.30450849844499,0.932,0.84,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",2,0.5,0,"both",25,10,1.96434193963433,-0.0356580603656675,0.536977737012026,0.288463206955412,0.924,0.952,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",2,0.5,0.01,"both",25,10,2.04833472248223,0.0483347224822284,0.481929880822175,0.233663629786593,0.944,0.98,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",2,0.5,0.2,"both",25,10,2.03366952862201,0.0336695286220058,0.55329210006808,0.306041256563383,0.904,0.964,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",2,0.5,0.5,"both",25,10,2.02395874034628,0.0239587403462783,0.565536781433287,0.319126544988286,0.92,0.964,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",2,0.6,0,"both",25,10,2.03550613927764,0.0355061392776392,0.534553016795381,0.285864625980386,0.94,0.98,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",2,0.6,0.01,"both",25,10,2.00490969824344,0.00490969824343623,0.489704072602482,0.238874943545405,0.944,0.968,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",2,0.6,0.2,"both",25,10,2.02525829869801,0.0252582986980064,0.52325319566709,0.273336712801836,0.924,0.98,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",2,0.6,0.5,"both",25,10,2.08474622250603,0.0847462225060303,0.554041548561906,0.312916111611785,0.928,0.984,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",2,0.7,0,"both",25,10,2.03229880796692,0.0322988079669197,0.545232864160365,0.297132973651956,0.944,0.98,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",2,0.7,0.01,"both",25,10,2.02255035305711,0.0225503530571095,0.522738716597541,0.272671261189725,0.94,0.972,0,250
